Person,Payment Card Number,Bank_Account_Number,IFSC,UPI_ID
Siya Karnik,4216 2345 9872 6229,53695318628477,APBL0004013,dhanuk74@upi
Nayantara Sridhar,4171 5800 1200 9151,973999092471816,APBL0004014,nishith23@upi
Devansh Das,4526 0526 6202 2936,2486313818386370,APBL0004015,swalla@upi
Nitara Kaur,4694 6288 6413 3377,87316040774326,APBL0004016,badal71@upi
Eva Devi,4406 0506 6364 0867,898322987605277,APBL0004017,aarush47@upi
Aarav Sidhu,4056 6277 0294 4450,466710262650831,APBL0004018,himmatdhaliwal@upi
Hridaan Arora,4227 2826 4749 5798,355215349309653,APBL0004019,vedika58@upi
Hrishita Chana,4602 1941 3803 2490,924840766205259,APBL0004020,auroranirvaan@upi
Fateh Sheth,4330 5196 7955 8546,368373255708109,APBL0004021,sodhibhavin@upi
Badal Bhatti,4675 2345 4749 9443,2811700272234220,APBL0004022,vivaanedwin@upi
Alisha Sha,4576 3332 4764 4595,775630111927111,APBL0004023,anvigole@upi
Ishita Dara,4556 0122 5588 2081,2527204847288700,APBL0004024,mmanda@upi
Faiyaz Trivedi,4355 7483 9131 9164,268717442875551,APBL0004025,tiwarivivaan@upi
Samaira Venkatesh,4083 3747 2666 2977,159724798271425,APBL0004026,tyohannan@upi
Sumer Kothari,4883 9857 4648 4399,87915223547355,APBL0004028,dattanitya@upi
Alia Jani,4208-7696-6294-5205,38122222147789,APBL0004029,maniazad@upi
Rhea Kibe,4194-5685-7092-7081,229329723465801,APBL0004030,prishaanne@upi
Adah Deol,4973-0713-6460-8311,62921567059295,APBL0004031,emir72@upi
Anvi Aurora,4922-0089-6082-9554,43735036477361,APBL0004032,armaan65@upi
Darshit Comar,4122-6778-4331-4089,828223473524120,APBL0004033,arama@upi
Kiara Chander,4833-9125-9970-4518,66678473080894,APBL0004034,bhagatindrajit@upi
Anaya Apte,4458-3905-2205-7672,926572339431067,APBL0004035,alall@upi
Gokul Jani,4293-9283-5796-3339,3863410470277700,APBL0004036,rgrewal@upi
Uthkarsh Bala,4279-6321-3218-4876,7872794168917750,APBL0004037,samaira71@upi
Ela Chacko,4229-6362-4575-3726,5499871790118920,APBL0004038,eshani44@upi
Dhruv Agate,4892-1201-6491-4359,1473728371716310,APBL0004039,chirag96@upi
Kanav Desai,4921-6923-9112-8313,7352915272015160,APBL0004040,gatikreddy@upi
Badal Bahri,4002-1583-1195-8405,71558025031474,APBL0004041,gbansal@upi
Siya Dada,4287-7098-9039-0802,46624327205600,APBL0004042,vaibhavuppal@upi
Misha Konda,4546-8515-3678-2344,17463026812151,APBL0004043,advik57@upi
Shalv Singhal,4298-0763-0158-7955,678538839334488,APBL0004044,sakshamganguly@upi
Mamooty Bala,4522-3774-9239-9327,3314428986117460,APBL0004045,anyagoswami@upi
Manjari Bahl,4627-4429-8745-8360,1796328446376020,APBL0004046,jhanvisarin@upi
Arnav Chana,4770-1437-5597-0033,84178457007464,APBL0004047,sahilkapadia@upi
Diya Dubey,4467-3129-2300-0985,4415112040434350,APBL0004048,chadarnav@upi
Stuvan Bakshi,4606-4839-3719-6689,2419564554631460,APBL0004049,stuvan44@upi
Divit Sarraf,4014-9376-3523-8925,9793643418979220,APBL0004050,taran37@upi
Lakshit Dani,4402-8794-2590-3450,78473943685585,APBL0004051,ndhaliwal@upi
Riaan Kannan,4531-7867-8410-1168,88844116297686,APBL0004052,priyanshdora@upi
Lakshay Jaggi,4678-7438-7407-7090,98367448827245,APBL0004053,jaggikaira@upi
Badal Shroff,4790-5905-4519-5253,5288633967800580,APBL0004054,gatik35@upi
Ranbir Sani,4958-8192-8626-1877,51996366453037,APBL0005002,horaishita@upi
Arnav Luthra,4810-8192-4025-6748,656198796213471,APBL0005003,etaneja@upi
Rasha Warrior,4862-5153-7341-7811,995475558923174,APBL0005004,banikmanikya@upi
Navya Divan,4637-2668-1555-8333,17394215745931,APBL0005005,prisha38@upi
Akarsh Bansal,4115-5482-3436-7854,9327295246407430,APBL0005006,samarth33@upi
Dharmajan Sant,4629-4595-9337-6446,6529844016069460,APBL0005007,gwali@upi
Hunar Seth,4564-6517-0514-7882,424112509093750,APBL0005008,yuvaanmander@upi
Ranbir Varughese,4048-6789-0250-6392,4994872572722480,APBL0005009,wbhattacharyya@upi
Vanya Dhar,4742-2391-0129-8817,2587366727555680,APBL0005010,diyer@upi
Misha Chana,4093-9962-5573-8030,8825131662377440,APBL0005011,ashukla@upi
Hunar Bali,4670-9149-8936-6573,615917993111466,APBL0005012,chandraumang@upi
Pari Bhakta,4368-0391-9056-2229,18499832444261,APBL0005013,maharajalia@upi
Mahika Dani,4323-8269-4179-5676,7428376583832520,APBL0005014,obalakrishnan@upi
Manikya Sant,4553-8992-3958-8112,55433234403553,APBL0005015,karpenishith@upi
Lavanya Magar,4200-0675-4465-3370,6475745470606640,APBL0005016,sagarmohanlal@upi
Ayesha Dhar,4793-1767-4194-2230,45566348280750,APBL0005017,shanayabaria@upi
Adira Gopal,4580-8811-9606-9010,7837492507479620,APBL0005018,amblereyansh@upi
Devansh Bumb,4625-7330-1097-7661,51268293990900,APBL0005019,royarhaan@upi
Rohan Bhatia,4150-7607-8872-2733,3294537355662180,APBL0005020,shlokkale@upi
Taran Dey,4131-1391-6491-5928,7239354556767020,APBL0005021,chandraonkar@upi
Hansh Chaudhary,4057-2349-9033-5787,22484646020475,APBL0005022,dhruvdesai@upi
Inaaya  Khare,4367-6194-6783-8252,4797129662271400,APBL0005023,prisha40@upi
Hazel Banik,4812-5607-4030-2875,71667547940844,APBL0005024,htalwar@upi
Advika Dutt,4005-8166-3210-8813,137641040159283,APBL0005025,balanvardaniya@upi
Nehmat Deep,4235-8716-4965-2487,23686098784747,APBL0005026,ramanarnav@upi
Himmat Gokhale,4072-7636-9360-4611,63363526269402,APBL0005027,lakshayyadav@upi
Pihu Malhotra,4689-7616-4234-1843,32968939539580,APBL0005028,masterzoya@upi
Nitya Atwal,4952-7372-8736-9851,6989595372687880,APBL0005029,aarna87@upi
Renee Mangal,4114-2762-6270-8549,7768967865393990,APBL0005030,romilwali@upi
Lavanya Kala,4478-6779-5452-1498,28938678674791,APBL0005031,himmat60@upi
Mehul Das,4668-9422-6094-0059,183322941615088,APBL0005032,ramarania@upi
Rati Sanghvi,4072-0539-3988-5681,45816185098160,APBL0005033,issacjayant@upi
Miraan Jhaveri,4326-2031-9872-5318,665244704241984,APBL0005034,anahichoudhary@upi
Samiha Ravel,4381-0574-5066-3159,93743247419069,APBL0005035,datefateh@upi
Stuvan Chakraborty,4839-4319-7292-3698,36295357217475,APBL0006001,zoyakulkarni@upi
Hridaan Kohli,4590-6297-9910-7523,952294711478107,APBL0006002,alia76@upi
Aarush Bera,4227-2225-9653-4296,185145054262538,APBL0006003,btalwar@upi
Urvi Tata,4540-4185-3667-9536,943393035297914,APBL0006004,seminaaya@upi
Arhaan Suri,4590-2212-4240-2287,4117252307725200,APBL0006005,elata@upi
Samaira Sankar,4417-8136-2278-5199,46549679063469,APBL0006006,pbaria@upi
Seher Sethi,4388-7263-0411-2919,189468718401218,APBL0006007,hansh91@upi
Tejas Kumar,4665-9794-6886-9626,966643347954666,APBL0006008,jivinaggarwal@upi
Zeeshan Brahmbhatt,4438-9395-2172-7779,89481574322218,APBL0006009,vivaan59@upi
Biju Gulati,4727-0371-2174-7121,1749499512559740,APBL0006010,pranaydhar@upi
Sahil Ray,4961-0965-7546-9736,36269601023448,APBL0006011,samarsharma@upi
Kabir Lata,4552-0551-5315-5856,9163287982619970,APBL0006012,vaidyadrishya@upi
Mishti Bora,4441-9726-1228-4942,598587669863128,APBL0006013,khoslaehsaan@upi
Tushar Goyal,4368-7543-5347-0875,9152834847652230,APBL0006014,zain85@upi
Rasha Gera,4532-4087-0252-7478,168817731907832,APBL0006015,stiwari@upi
Saira Vig,4298-2030-3922-0663,98314871407623,APBL0006016,faiyaz12@upi
Keya Kibe,4179-6096-7957-7895,97867065183285,APBL0006017,aggarwalprerak@upi
Aarna Dewan,4891-2672-6569-3563,4726475240791590,APBL0006018,keyabalan@upi
Indrans Swaminathan,4300-2578-2116-3610,62625469226256,APBL0006019,yasmin09@upi
Stuvan Tailor,4874-6949-4228-2596,542322915378424,APBL0006020,kalajhanvi@upi
Seher Dewan,4708-8914-4377-6371,53981527043373,APBL0006021,ltiwari@upi
Divij Deol,4189-5728-5963-4498,521238897252262,APBL0006022,misha47@upi
Jiya Barman,4766-1941-1284-7675,72321995166630,APBL0006023,jivika03@upi
Kiaan Gara,4017-6673-3326-1062,39774529969978,APBL0006024,ktoor@upi
Advik Upadhyay,4833-2323-5164-3642,442941721800085,APBL0006025,samihathakur@upi
Aarush Tak,4361-7124-4650-3729,36987332859848,APBL0006026,ivala@upi
Zaina Uppal,4552-9332-7341-9792,44544206313796,APBL0006027,ela27@upi
Anahi D’Alia,4677-7893-2393-6023,998388903452024,APBL0006028,nishith40@upi
Oorja Dua,4175-9881-3746-7764,838663623509788,APBL0006029,baradkismat@upi
Ira Kale,4686-1458-8997-6938,6644685126157350,APBL0006030,raniabali@upi
Dhruv Talwar,4421-3573-5207-1853,2711844577294900,APBL0006031,kadakiajayan@upi
Kavya Dube,4809-6258-8698-2874,589221923073623,APBL0006032,qsethi@upi
Yasmin Seth,4837-2480-1158-5763,85385582944593,APBL0006033,qvenkataraman@upi
Emir Sura,4770-5303-5427-1203,1283225799353550,APBL0006034,himmat76@upi
Darshit Grover,4409-4911-8782-2036,16545330166364,APBL0006035,thamandhanush@upi
Jivika Dyal,4858-9634-3444-3887,1292700055203220,APBL0006036,dhanukkala@upi
Damini Dass,4040-2587-5095-0295,12222943705992,APBL0006037,shanaya30@upi
Divyansh Sundaram,4809-0110-8998-9356,5354722507279110,APBL0006038,nagrawal@upi
Shlok Ram,4123-4190-9452-8318,7556708762056020,APBL0006039,sairabalan@upi
Riya Goyal,4091-4836-9129-2650,87821297661385,APBL0006040,kulkarnianay@upi
Yuvraj  Vyas,4594838510179170,672891085368902,APBL0006041,purabsarkar@upi
Trisha Raj,4188510377395510,9154521393248550,APBL0006042,icontractor@upi
Ryan Sankar,4438287403120310,12792682986695,APBL0006043,parinaazsheth@upi
Dhanush Srinivasan,4008727767217260,64865359616351,APBL0006044,bmane@upi
Chirag Hegde,4608228132590590,1851647671420490,APBL0006045,chadavritika@upi
Ivana Kadakia,4338716351946260,777393099837178,APBL0006046,hrishitasarin@upi
Vritika Verma,4476494569229910,7267220622445890,APBL0006047,hbains@upi
Ivana Mani,4153253597927680,9215223436462740,APBL0006048,bhatiasahil@upi
Emir Bhandari,4320900031012160,6235661997988410,APBL0006049,ryanwalla@upi
Mamooty Chowdhury,4381797970359160,5736898078666570,APBL0006050,ivana30@upi
Advika Bedi,4201681685705340,787762335903385,APBL0006051,shalvbera@upi
Vritika Sangha,4029167890390390,8913948740904790,APBL0006052,jivinmani@upi
Kaira Batra,4638860998541350,9365333955990690,APBL0006053,nsandhu@upi
Aarush Garg,4546764610986630,558813651185819,APBL0006054,nsuri@upi
Aarav Bora,4019116828552440,61832710257284,APBL0006055,lgour@upi
Ryan Rajan,4154728347279280,428412441031383,APBL0006056,saanviwadhwa@upi
Inaaya  Badal,4603644230130940,55157895678711,APBL0006057,jhanvimahajan@upi
Adira Viswanathan,4421831655921050,314342787390151,APBL0006058,mohanlal78@upi
Sara Bahl,4578004051719470,9627138284138050,APBL0006059,brarkartik@upi
Gatik Rajan,4560892156991750,68569643789195,APBL0007001,ivana35@upi
Dishani Loke,4237871767236570,74954783554357,APBL0007002,hayrecharvi@upi
Emir Raj,4865525089118980,66132871942256,APBL0007003,bathnayantara@upi
Zoya Aggarwal,4357960598136460,9285946571978570,APBL0007004,kismatravel@upi
Ishaan Deo,4953293825585660,978924397849797,APBL0007005,dishanikibe@upi
Oorja De,4069406704513130,4683298880420770,APBL0007006,aniruddhbal@upi
Hridaan Kar,4756579073001310,7163131161591290,APBL0007007,advika44@upi
Divit Dara,4622739919024970,7224945889251040,APBL0007008,dhanush76@upi
Anay Chhabra,4693735645071290,2162170555799230,APBL0007009,dhanush77@upi
Vritika Wadhwa,4789238899023670,3216234206973580,APBL0007010,raghavkashyap@upi
Vivaan Venkatesh,4094127578680670,85726733458892,APBL0007011,pbhargava@upi
Riya Lad,4771589693420570,14741913726161,APBL0007012,arnav87@upi
Ahana  Gill,4813669412461810,472320630742326,APBL0007013,handasiya@upi
Samiha Mand,4549875990750990,149314562166691,APBL0007014,hridaangade@upi
Trisha Vasa,4624013000169320,83194188103326,APBL0007015,rajagopaldishani@upi
Lakshit Badal,4952231421202100,24372753965448,APBL0007016,shanaya36@upi
Mahika Samra,4273097813037260,678562685814201,APBL0007017,dkapur@upi
Eshani Warrior,4709264899217730,457666298659841,APBL0007018,raghav39@upi
Hridaan Shroff,4111619464815510,412197608879795,APBL0007019,akarshrajagopalan@upi
Yasmin Lata,4854553064365110,3194563516849490,APBL0007020,nehmatmann@upi
Hiran Gala,4281360863091560,31467263796654,APBL0007021,uchakraborty@upi
Veer Kumar,4904578677627770,2879829338928320,APBL0007022,lsetty@upi
Reyansh Sharaf,4381755078435780,667383617841955,APBL0007023,anneahana@upi
Himmat Sur,4285438753248710,575374905030611,APBL0007024,samihakata@upi
Badal Dube,4525712377641940,37251056278260,APBL0007025,dishanichaudhari@upi
Emir Sodhi,4646611786572470,5792281277698890,APBL0007026,sainibiju@upi
Pihu Wable,4152270308946610,86695274688488,APBL0007027,goeljayant@upi
Saira Hayre,4918279704780510,14373883925676,APBL0007028,bansalkismat@upi
Tiya Karpe,4978938078337620,36655238310580,APBL0007029,chanddhruv@upi
Ishaan Sampath,4607971244400560,91217781774685,APBL0007030,sahnilagan@upi
Arnav Kala,4757871926295080,27358053911110,APBL0007031,guhasaksham@upi
Ela Dhillon,4987238623569280,48968854025933,APBL0007032,armaan67@upi
Fateh Gandhi,4317735005337390,96656538822322,APBL0007033,vihaanwason@upi
Indrans Ram,4482331722556940,545512248283030,APBL0007034,wthakkar@upi
Eva Kakar,4689743921960740,5448585545118240,APBL0007036,lsuri@upi
Saira Din,4611465604827360,42252467618378,APBL0007037,gyadav@upi
Mehul Agate,4249456902960290,577691800167955,APBL0007038,svenkatesh@upi
Yuvaan Keer,4247069402231260,79452759096923,APBL0007039,chadvivaan@upi
Aaina Dora,4825179095874210,878179932329718,APBL0007040,sarmaadvika@upi
Arnav Vyas,4454237206445900,2922652606698060,APBL0007041,jayantdhaliwal@upi
Prerak Borah,4453757371342880,89548063154350,APBL0007042,biswasarnav@upi
Dishani Sharaf,4781496839621530,11689727100521,APBL0007043,venkataramanrhea@upi
Sana Chada,4147292524121530,562328223729973,APBL0007044,rastogisiya@upi
Vedika Kashyap,4543366639376150,436244383372614,APBL0007045,shankaruthkarsh@upi
Ryan Gola,4043649633114390,5968371513175110,APBL0008001,manjari67@upi
Eva Trivedi,4494518927508130,2389347105131030,APBL0008002,rheabrahmbhatt@upi
Yashvi Rastogi,4562027584297380,775971182324934,APBL0008003,rdeep@upi
Aaryahi Bhargava,4378832785093290,598735803117960,APBL0008004,yuvraj-cherian@upi
Kiaan Kala,4388255986162920,1838759858137970,APBL0008005,hiran44@upi
Neelofar Chopra,4629483642395600,8684654857919220,APBL0008006,devansh94@upi
Miraan Magar,4530265597929850,921725267295678,APBL0008007,uratta@upi
Aaina Karpe,4554208432723850,36123182993592,APBL0008008,wkulkarni@upi
Shalv Sami,4902516684339160,3118973498614060,APBL0008009,raniabanerjee@upi
Renee Behl,4459022111437790,347359423228361,APBL0008010,dchhabra@upi
Lakshay Choudhury,4153174989770450,758637291416934,APBL0008011,bandra@upi
Arhaan Bajaj,4225171621550400,232627643009829,APBL0008012,samiha18@upi
Shlok Devi,4420824667352750,56227038850638,APBL0008013,karnikshalv@upi
Faiyaz Sule,4851855637964910,444688734754149,APBL0008014,abram56@upi
Vardaniya Atwal,4346984483841420,448367179801389,APBL0008015,bijuranganathan@upi
Zaina Chaudhary,4714484495419460,857222694294593,APBL0008016,sarabakshi@upi
Lavanya Sagar,4604722474532510,8966341520713150,APBL0008017,raudiya@upi
Mahika Basak,4565817276206320,93226480845909,APBL0008018,gaderitvik@upi
Emir Vasa,4245610929549140,728491455082334,APBL0008019,onkar46@upi
Rhea Mahajan,4403838809290920,25365839337249,APBL0008020,saanvi53@upi
Shaan Raval,4449807790123250,983893520741382,APBL0008021,dalalyasmin@upi
Tara Ghose,4702946928500490,893858684484365,APBL0008022,ochand@upi
Tarini Sandhu,4187665545138150,55257581055196,APBL0008023,rohanganguly@upi
Faiyaz Suresh,4828808311477450,4236814999757610,APBL0008024,sarkarivan@upi
Pihu Bath,4969875810519090,192674494389096,APBL0008025,kapadiakhushi@upi
Neysa Gopal,4957899693441310,2322883795619660,APBL0008026,ranbirtaneja@upi
Dhanuk Shenoy,4335431423982350,79917324784069,APBL0008027,baijukalla@upi
Romil Dhar,4128080532755380,4251108924458500,APBL0008028,aarna68@upi
Shlok Buch,4305629350893030,84749356633165,APBL0008029,zachariahriya@upi
Lagan Bava,4768223262262050,9646390761804050,APBL0008030,lakshaykhare@upi
Diya Gole,4622367847217710,1146379467794470,APBL0008031,mamootyghosh@upi
Farhan Bahl,4512291532744000,54713126305760,APBL0008032,pranaygala@upi
Adira Tank,4941789870401770,835841205579635,APBL0008033,ishaan90@upi
Lakshit Dewan,4148031662511850,55258153195615,APBL0008034,aayush97@upi
Zeeshan Aggarwal,4348343128661610,69355955427752,APBL0009001,indransupadhyay@upi
Tarini Zacharia,4210073940549230,2557641681465790,APBL0009002,tchakraborty@upi
Rohan Chhabra,4062790078610170,5869735739082310,APBL0009003,datedrishya@upi
Piya Chaudhary,4433 4608 0569 0620,4118195041517730,APBL0009004,jhanvichadha@upi
Kismat Wadhwa,4227 3730 9096 4941,56672805549834,APBL0009005,zmangal@upi
Miraan Karpe,4364 5357 2583 8434,18436713364472,APBL0009006,devansh24@upi
Dishani Bir,4056 0727 3418 3928,229398531232409,APBL0009007,eladalal@upi
Nishith Raval,4304 8793 6313 3614,4271996582094060,APBL0009008,drishya24@upi
Darshit Sabharwal,4496 3384 9302 1783,69416850637226,APBL0009009,oorjadivan@upi
Advika Vasa,4584 2783 4407 9056,2978958194848000,APBL0009010,kaurora@upi
Divyansh Sanghvi,4651 3205 2423 8108,535441150450482,APBL0009011,gandhishray@upi
Anay Bakshi,4811 8584 9414 0488,12543178776890,APBL0009012,msaini@upi
Saksham Sarkar,4926 7058 5458 3108,5989516940727950,APBL0009013,daraneysa@upi
Saksham Dixit,4506 4708 4971 1623,2189237617585630,APBL0009014,sana19@upi
Aniruddh Srinivasan,4161 3326 5480 0774,74692252776288,APBL0009015,dranganathan@upi
Heer Borah,4791 0130 1054 6305,3833734574200960,APBL0009016,wkumar@upi
Vardaniya Gill,4137 9437 8182 5061,69326192455252,APBL0009017,ivan47@upi
Madhup Bala,4109 0176 5741 8972,493984411528793,APBL0009018,sairasingh@upi
Zeeshan Deshmukh,4692 9397 5588 4164,71865670019618,APBL0009019,jhanvikakar@upi
Yashvi De,4624 4647 1480 4107,12357650733202,APBL0009020,elakshi73@upi
Mishti Deo,4848 8363 1767 7560,4449548412215400,APBL0009021,badal42@upi
Charvi Golla,4289 3159 3703 1264,19769925641997,APBL0009022,bavasahil@upi
Onkar Sami,4496 1156 7645 1940,2583395038320950,APBL0009023,yborra@upi
Manjari Khatri,4370 0505 6012 3308,69546169528983,APBL0010000,kiara32@upi
Nehmat Barad,4585 2902 6385 8864,795350735880346,APBL0010001,cchandra@upi
Himmat Ghosh,4141 2681 9288 9850,6683359291464070,APBL0010002,katariaan@upi
Indranil Thakkar,4828 2114 6553 3631,86289376616341,APBL0010003,prerakkohli@upi
Ayesha Ganesan,4724 8674 4625 4343,65562115928165,APBL0010004,nishith28@upi
Hazel Kamdar,4852 2195 9441 9050,494359791999214,APBL0010005,renee19@upi
Diya Anand,4899 5733 5450 4708,551787530151958,APBL0010006,riaan73@upi
Romil Bajaj,4931 3048 6429 6035,951320208051721,APBL0010007,faiyazarya@upi
Sumer Sekhon,4026 2368 0695 1226,59344871336686,APBL0010008,gganesan@upi
Vaibhav Ghose,4781 4545 4520 3404,2581896627662520,APBL0010009,duttnavya@upi
Anahi Sandhu,4011 2456 3932 2478,28858691669399,APBL0010010,urvichana@upi
Fateh Vig,4617 1076 7333 3407,378926838851769,APBL0010011,sumeryohannan@upi
Divij Krishna,4104 0801 9758 0615,45148614975603,APBL0010012,aarnadhillon@upi
Rasha Shroff,4623 7594 9039 9326,2618673314462700,APBL0010013,samar48@upi
Indranil Brahmbhatt,4122 2002 5964 5217,6543972268612690,APBL0010014,gulatieshani@upi
Aarna Mani,4917 7241 9915 7388,121777532057708,APBL0010015,nsawhney@upi
Jiya Bhatia,4894 5223 4342 0554,35766973273502,APBL0010016,parinaazkumer@upi
Manikya Gokhale,4192 0214 2924 5489,129651965413798,APBL0010017,rbarad@upi
Inaaya  Sehgal,4122 4250 6969 4291,826175172219986,APBL0010018,zaragrover@upi
Neelofar Goel,4289 6135 8211 8679,6372590539144460,APBL0010019,babudhruv@upi
Mamooty Contractor,4651 6680 5306 1352,9194740600655000,APBL0010020,saksham07@upi
Neysa Bhatti,4777 6530 0569 3147,47141996972971,APBL0010021,tara46@upi
Jiya Sarkar,4181 9192 8813 0341,1865497435560140,APBL0010022,tara36@upi
Vivaan Mandal,4607 8872 3782 7836,878984660325499,APBL0010023,duttapranay@upi
Rhea Iyengar,4802 6471 7618 7227,4493530855911740,APBL0010024,balasubramanianinaaya@upi
Azad Ramachandran,4915 2690 0311 4854,1389433949403530,APBL0010025,rkakar@upi
Divit Kalita,4519 5306 2362 4410,8948631780157620,APBL0010026,baijusha@upi
Emir Rana,4669 9494 3151 4613,499666377967158,APBL0010027,balasamar@upi
Lakshit Soman,4685 8756 5673 0362,638861608202974,APBL0010028,krish73@upi
Kimaya Chaudry,4181 8593 2037 5019,651777655266068,APBL0010029,kiaangarde@upi
Eshani Thaker,4642 0743 1435 3401,744484660292473,APBL0010030,ybhalla@upi
Hansh Varty,4900 7489 9751 7278,3816470124016780,APBL0010031,ssarna@upi
Nitara Singhal,4938 4887 6987 6950,782971265873831,APBL0010032,dhanuksolanki@upi
Dhanush Balasubramanian,4424 2578 8382 0249,7362643128746450,APBL0010033,xbrahmbhatt@upi
Renee Bhakta,4237 3955 8107 0001,41341486426477,APBL0010034,tejasbalasubramanian@upi
Rati Sagar,4923 1664 2812 4023,955595886498976,APBL0010035,indranilkade@upi
Kavya Raman,4508 2364 0470 8116,64467085574610,APBL0010036,schauhan@upi
Devansh Keer,4434 5422 5486 8234,88543966484250,APBL0010037,mamooty92@upi
Aradhya Koshy,4334 8511 2333 7326,79717980465844,APBL0010038,amiragandhi@upi
Ivana Bumb,4210 0162 5193 6369,743321357822353,APBL0010039,deshpandesaksham@upi
Nishith Shah,4120 5490 3760 4587,74616153231844,APBL0010040,vaibhavkhanna@upi
Charvi Dara,4716 7086 7463 5797,544489551250658,APBL0011001,dravel@upi
Neelofar Sawhney,4360 0160 7782 2551,16461504693589,APBL0011002,vloyal@upi
Zara Khare,4081 0518 8566 4836,3584438777591130,APBL0011003,kavya72@upi
Sana Rattan,4693 6253 2827 0242,3554485937808600,APBL0011004,ekale@upi
Hridaan Chawla,4078 9797 4304 2552,3893622623018860,APBL0011005,raghavlad@upi
Nakul Rama,4815 1303 9816 7918,787793334105052,APBL0011006,biju32@upi
Devansh Chaudhary,4866 0727 1439 6441,83241137066691,APBL0011007,senguptarati@upi
Onkar Gaba,4810 5538 9910 6090,7631789766698660,APBL0011008,walidrishya@upi
Tushar Gour,4615 0174 8235 6832,27966900346609,APBL0011009,koshynirvi@upi
Baiju Mani,4199 9739 6378 0227,523971109266531,APBL0011010,zkrish@upi
Divij Koshy,4180 7763 4552 9134,1863633379208280,APBL0011011,dkala@upi
Aarush Varkey,4478 6002 4298 9889,4643307797309080,APBL0011012,jwable@upi
Samar Anand,4230 7268 1734 7143,7966632539266280,APBL0011013,zbora@upi
Piya Wagle,4406 0792 8848 4039,5941980473429140,APBL0011014,rati31@upi
Nehmat Sura,4252 9786 7213 5856,134550407116782,APBL0011015,yakshitboase@upi
Hridaan Ratta,4436 7860 1871 3735,61295830697339,APBL0011016,dhawanlakshit@upi
Ahana  Bahl,4340 9224 9215 5383,817834349960304,APBL0011017,jmangat@upi
Rohan Jain,4854 6974 2496 6432,877673479708928,APBL0011018,mahika91@upi
Jhanvi Hari,4200 7685 4774 3502,745281051063515,APBL0011019,madhav53@upi
Vihaan Wadhwa,4221 7010 4322 5620,9873293538013400,APBL0011020,tejassamra@upi
Damini Goel,4933 0124 7821 1286,7561585486240540,APBL0011021,jayant09@upi
Miraan Yohannan,4601 9663 3263 2634,59792013253715,APBL0011022,msampath@upi
Hazel Dada,4924 3843 0134 8259,431193987913646,APBL0011023,erana@upi
Shamik Raju,4620 6946 1926 1789,5929755389871690,APBL0011024,warrioraayush@upi
Farhan Sheth,4734 1627 7721 4639,27926941236270,APBL0011025,balaparinaaz@upi
Saira Shukla,4082 6976 2491 1026,7432255476227830,APBL0011026,tiya05@upi
Khushi Varughese,4936 8170 1902 9915,4142736110768240,APBL0011027,behldhanuk@upi
Indranil Tank,4764 5944 5654 7652,68398084984093,APBL0011028,kondaabram@upi
Divyansh Dave,4670 8802 9609 5512,29741631459028,APBL0012001,lallasaira@upi
Indrans Tiwari,4363 5697 1929 9825,277285780976045,APBL0012002,kismat37@upi
Prerak Garde,4044 5517 6835 0243,6796377833735310,APBL0012003,tusharramachandran@upi
Samar Wagle,4101 6680 2626 0871,787433107142942,APBL0012004,bhamini69@upi
Divit Savant,4817 2634 0964 0926,1891205702641060,APBL0012005,obahri@upi
Ishita Raja,4871 9304 9294 9652,97234157729765,APBL0012006,smammen@upi
Tushar Ghosh,4381 6231 4710 2099,8615877645989090,APBL0012007,valaneysa@upi
Saksham Goel,4607 8940 9467 6256,6681566192382870,APBL0012008,miraya50@upi
Sara Sachdev,4345 4712 6473 2784,2942393026472560,APBL0012009,mohanlal84@upi
Jivin Chada,4971 2615 2568 1925,3712145651064730,APBL0012010,sainimamooty@upi
Saksham Doshi,2718-5624-7370-1504,384334146993964,APBL0012011,fbhatt@upi
Mannat Goda,2225-0153-8467-8606,7497753292494380,APBL0012012,elakshidass@upi
Aayush Kibe,2264-5754-1392-1170,934567911971288,APBL0012013,tooremir@upi
Shayak Karpe,2331-6393-0055-7577,73419053279273,APBL0012014,armaandutt@upi
Purab Sarkar,2275-3328-8634-7526,129778827213979,APBL0012015,aaina64@upi
Emir Dhingra,2712-0431-9914-0802,74773903137673,APBL0012016,vthaker@upi
Uthkarsh Kaul,2224-5612-1234-9960,9673705578769150,APBL0012017,zoyasastry@upi
Jayesh Dhar,2224-1709-8542-2911,854134363943742,APBL0012018,aarna09@upi
Jhanvi Barman,2224-6524-1767-9143,539875399994198,APBL0012019,anahi41@upi
Farhan Mand,2711-8182-2006-7921,18452833402237,APBL0012020,aniruddh89@upi
Aayush Dasgupta,5310-9942-5589-1390,66122183081740,APBL0012021,obatra@upi
Anya Shenoy,2717-9825-4797-4484,889179315188683,APBL0012022,fateh32@upi
Tarini Vohra,2272-4783-2291-1772,661479376558249,APBL0012023,usachdeva@upi
Zara Taneja,2287-2581-4182-3868,3258823475355660,APBL0012024,birnirvaan@upi
Ranbir Sachdev,2229-0092-5266-1287,372488152492655,APBL0012025,jayesh71@upi
Azad Desai,2225-2138-3437-7016,27793368589252,APBL0012026,kdewan@upi
Alia Goswami,5560-9276-0593-6843,6664583905133290,APBL0012027,hunarkota@upi
Ishaan Acharya,5599-0562-3938-6194,8911380956929870,APBL0012028,sanghvilakshit@upi
